X;et_x;direct;flip;id_r;g_indicator;indicator;country;ref;DOI;g_desbio;grupo;orden;fam.spe;habitat;et_y;dif;source;manag;coo1;coo2;r_paper;n;p;phen;r_total;n_total;Zr;r_dir;Zr_dir;Var_dir
179;FieldMarginLength;+;no;26_49;configuration;connectivity;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Coleoptera;NA;NA;DBSWInd;easy;table;NA;108.170481;22.64335729;NA;NA;NA;NA;-0.107594379;56;-0.108012478;-0.107594379;-0.108012478;0.018867925
180;OpenWater500;+;no;26_69;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Coleoptera;NA;NA;DBSWInd;easy;table;NA;108.4906885;22.64453645;NA;NA;NA;NA;-0.236723065;56;-0.241299775;-0.236723065;-0.241299775;0.018867925
181;OpenWater750;+;no;26_83;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Coleoptera;NA;NA;DBSWInd;easy;table;NA;108.2476679;22.64947453;NA;NA;NA;NA;-0.172299015;56;-0.174035055;-0.172299015;-0.174035055;0.018867925
182;Core area index;-;si;13_5;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Anagrus spp.;terrestrial;ANAGRU;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.310421193;28;0.32101145;-0.310421193;-0.32101145;0.04
183;Number patches;+;no;13_102;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Anagrus spp.;terrestrial;ANAGRU;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.294438757;28;-0.303419456;-0.294438757;-0.303419456;0.04
184;SHDI;+;no;13_164;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Anagrus spp.;terrestrial;ANAGRU;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.331120563;28;0.344086282;0.331120563;0.344086282;0.04
185;Core area index;-;si;13_6;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Anisops spec.;aquatic;ANISOP;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.103532429;28;0.103904747;-0.103532429;-0.103904747;0.04
186;Number patches;+;no;13_103;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Anisops spec.;aquatic;ANISOP;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.044984447;28;0.045014827;0.044984447;0.045014827;0.04
187;SHDI;+;no;13_139;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Anisops spec.;aquatic;ANISOP;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.014350162;28;-0.014351147;-0.014350162;-0.014351147;0.04
188;Core area index;-;si;13_30;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Cicadulina bipunctata;terrestrial;CICBIP;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.008838996;28;0.008839226;-0.008838996;-0.008839226;0.04
189;Number patches;+;no;13_108;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Cicadulina bipunctata;terrestrial;CICBIP;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.251417598;28;-0.256925489;-0.251417598;-0.256925489;0.04
190;SHDI;+;no;13_115;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Cicadulina bipunctata;terrestrial;CICBIP;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.332243905;28;0.345348483;0.332243905;0.345348483;0.04
191;Core area index;-;si;13_53;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Cotesia spp.;terrestrial;COTESI;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.133088338;28;0.133882572;-0.133088338;-0.133882572;0.04
192;Number patches;+;no;13_60;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Cotesia spp.;terrestrial;COTESI;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.006043434;28;-0.006043508;-0.006043434;-0.006043508;0.04
193;SHDI;+;no;13_131;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Cotesia spp.;terrestrial;COTESI;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.33009338;28;-0.34293305;-0.33009338;-0.34293305;0.04
194;Core area index;-;si;13_29;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Cyrtorhinus lividipennis;terrestrial;CYRLIV;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.234953914;28;-0.239426428;0.234953914;0.239426428;0.04
195;Number patches;+;no;13_62;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Cyrtorhinus lividipennis;terrestrial;CYRLIV;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.229271093;28;-0.233419983;-0.229271093;-0.233419983;0.04
196;SHDI;+;no;13_132;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Cyrtorhinus lividipennis;terrestrial;CYRLIV;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.145020984;28;0.146050658;0.145020984;0.146050658;0.04
197;Core area index;-;si;13_55;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Gonatopus spec. 1;terrestrial;DRYNID;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.057974967;28;0.058040051;-0.057974967;-0.058040051;0.04
198;Number patches;+;no;13_63;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Gonatopus spec. 1;terrestrial;DRYNID;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.223286624;28;-0.227112536;-0.223286624;-0.227112536;0.04
199;SHDI;+;no;13_170;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Gonatopus spec. 1;terrestrial;DRYNID;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.12839064;28;0.129103171;0.12839064;0.129103171;0.04
200;Core area index;-;si;13_45;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Diplonychus spec. 1;aquatic;DYPLON;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.172568078;28;0.174312363;-0.172568078;-0.174312363;0.04
201;Number patches;+;no;13_74;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Diplonychus spec. 1;aquatic;DYPLON;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.065513853;28;-0.065607825;-0.065513853;-0.065607825;0.04
202;SHDI;+;no;13_135;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Diplonychus spec. 1;aquatic;DYPLON;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.113579345;28;-0.114071562;-0.113579345;-0.114071562;0.04
203;Core area index;-;si;13_19;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Elasmus spp.;terrestrial;ELASMI;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.041686666;28;-0.041710839;0.041686666;0.041710839;0.04
204;Number patches;+;no;13_75;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Elasmus spp.;terrestrial;ELASMI;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.307181395;28;-0.31743014;-0.307181395;-0.31743014;0.04
205;SHDI;+;no;13_136;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Elasmus spp.;terrestrial;ELASMI;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.180845666;28;0.182856809;0.180845666;0.182856809;0.04
206;Core area index;-;si;13_20;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Empoascanara maculifrons;NA;EMPMAC;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.154725856;28;0.155978618;-0.154725856;-0.155978618;0.04
207;Number patches;+;no;13_77;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Empoascanara maculifrons;NA;EMPMAC;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.336024692;28;-0.349604437;-0.336024692;-0.349604437;0.04
208;SHDI;+;no;13_138;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Empoascanara maculifrons;NA;EMPMAC;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.004363613;28;0.004363641;0.004363613;0.004363641;0.04
209;Core area index;-;si;13_22;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Gonatocerus spp.;terrestrial;GONATO;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.150613542;28;0.15176816;-0.150613542;-0.15176816;0.04
210;Number patches;+;no;13_79;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Gonatocerus spp.;terrestrial;GONATO;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.298675895;28;-0.308065178;-0.298675895;-0.308065178;0.04
211;SHDI;+;no;13_140;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Gonatocerus spp.;terrestrial;GONATO;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.05046576;28;-0.050508668;-0.05046576;-0.050508668;0.04
212;Core area index;-;si;13_50;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Hemiptarsenus spec.;terrestrial;HEMIPT;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.180872168;28;0.182884208;-0.180872168;-0.182884208;0.04
213;Number patches;+;no;13_81;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Hemiptarsenus spec.;terrestrial;HEMIPT;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.050554893;28;-0.050598029;-0.050554893;-0.050598029;0.04
214;SHDI;+;no;13_142;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Hemiptarsenus spec.;terrestrial;HEMIPT;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.290257608;28;-0.298847549;-0.290257608;-0.298847549;0.04
215;Core area index;-;si;13_51;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Hydrometra lineata;aquatic;HYDLIN;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.242008762;28;0.246906746;-0.242008762;-0.246906746;0.04
216;Number patches;+;no;13_82;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Hydrometra lineata;aquatic;HYDLIN;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.239966601;28;-0.244738673;-0.239966601;-0.244738673;0.04
217;SHDI;+;no;13_143;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Hydrometra lineata;aquatic;HYDLIN;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.089968162;28;0.09021209;0.089968162;0.09021209;0.04
218;Core area index;-;si;13_36;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Limnogonus spp.;aquatic;LIMNOG;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.122822181;28;0.123445435;-0.122822181;-0.123445435;0.04
219;Number patches;+;no;13_69;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Limnogonus spp.;aquatic;LIMNOG;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.110956187;28;-0.111414918;-0.110956187;-0.111414918;0.04
220;SHDI;+;no;13_144;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Limnogonus spp.;aquatic;LIMNOG;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.127183449;28;0.12787594;0.127183449;0.12787594;0.04
221;Core area index;-;si;13_32;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Pardosa pseudoannulata;terrestrial;LYCOSI;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.380330404;28;0.400445873;-0.380330404;-0.400445873;0.04
222;Number patches;+;no;13_66;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Pardosa pseudoannulata;terrestrial;LYCOSI;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.384053147;28;0.404805427;0.384053147;0.404805427;0.04
223;SHDI;+;no;13_168;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Pardosa pseudoannulata;terrestrial;LYCOSI;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.449883547;28;-0.484554266;-0.449883547;-0.484554266;0.04
224;Core area index;-;si;13_35;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Mesovelia vittigera;aquatic;MESVIT;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.268447371;28;0.275189862;-0.268447371;-0.275189862;0.04
225;Number patches;+;no;13_65;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Mesovelia vittigera;aquatic;MESVIT;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.009352448;28;0.009352721;0.009352448;0.009352721;0.04
226;SHDI;+;no;13_169;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Mesovelia vittigera;aquatic;MESVIT;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.002603716;28;-0.002603722;-0.002603716;-0.002603722;0.04
227;Core area index;-;si;13_33;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Microvelia douglasi atrolineata;aquatic;MICDOU;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.34353501;28;0.358095061;-0.34353501;-0.358095061;0.04
228;Number patches;+;no;13_67;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Microvelia douglasi atrolineata;aquatic;MICDOU;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.03340286;28;-0.033415291;-0.03340286;-0.033415291;0.04
229;SHDI;+;no;13_166;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Microvelia douglasi atrolineata;aquatic;MICDOU;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.06202951;28;-0.06210925;-0.06202951;-0.06210925;0.04
230;Core area index;-;si;13_34;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Micronecta quadristrigata;aquatic;MICQUA;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.320283056;28;0.331962488;-0.320283056;-0.331962488;0.04
231;Number patches;+;no;13_68;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Micronecta quadristrigata;aquatic;MICQUA;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.009195065;28;0.009195324;0.009195065;0.009195324;0.04
232;SHDI;+;no;13_155;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Micronecta quadristrigata;aquatic;MICQUA;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.304944847;28;-0.314962428;-0.304944847;-0.314962428;0.04
233;Core area index;-;si;13_12;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nephotettix spp.;terrestrial;NEPHOT;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.428100046;28;0.457568065;-0.428100046;-0.457568065;0.04
234;Number patches;+;no;13_76;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nephotettix spp.;terrestrial;NEPHOT;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.05288836;28;0.052937756;0.05288836;0.052937756;0.04
235;SHDI;+;no;13_157;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nephotettix spp.;terrestrial;NEPHOT;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.058727413;28;-0.058795068;-0.058727413;-0.058795068;0.04
236;Core area index;-;si;13_14;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nephotettix nigropictus;terrestrial;NEPNIG;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.351951771;28;0.367669731;-0.351951771;-0.367669731;0.04
237;Number patches;+;no;13_87;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nephotettix nigropictus;terrestrial;NEPNIG;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.201178886;28;-0.203960863;-0.201178886;-0.203960863;0.04
238;SHDI;+;no;13_158;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nephotettix nigropictus;terrestrial;NEPNIG;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.085792553;28;0.086003976;0.085792553;0.086003976;0.04
239;Core area index;-;si;13_15;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nilaparvata lugens;terrestrial;NILLUG;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.442428113;28;0.475245861;-0.442428113;-0.475245861;0.04
240;Number patches;+;no;13_105;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nilaparvata lugens;terrestrial;NILLUG;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.24538994;28;0.250501413;0.24538994;0.250501413;0.04
241;SHDI;+;no;13_123;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nilaparvata lugens;terrestrial;NILLUG;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.680148595;28;-0.829390495;-0.680148595;-0.829390495;0.04
242;Core area index;-;si;13_38;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nisia atrovenosa;terrestrial;NISATR;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.231338499;28;0.235603188;-0.231338499;-0.235603188;0.04
243;Number patches;+;no;13_106;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nisia atrovenosa;terrestrial;NISATR;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.261905825;28;-0.268153496;-0.261905825;-0.268153496;0.04
244;SHDI;+;no;13_159;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Nisia atrovenosa;terrestrial;NISATR;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.266770572;28;0.273383716;0.266770572;0.273383716;0.04
245;Core area index;-;si;13_40;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Ophionea nigrofasciata;terrestrial;OPHNIG;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.200101436;28;0.202838219;-0.200101436;-0.202838219;0.04
246;Number patches;+;no;13_83;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Ophionea nigrofasciata;terrestrial;OPHNIG;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.307098983;28;0.317339144;0.307098983;0.317339144;0.04
247;SHDI;+;no;13_161;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Ophionea nigrofasciata;terrestrial;OPHNIG;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.172491883;28;-0.174233831;-0.172491883;-0.174233831;0.04
248;Core area index;-;si;13_2;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Scotinophara spp.;terrestrial;SCOTIN;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.261468876;28;0.267684425;-0.261468876;-0.267684425;0.04
249;Number patches;+;no;13_109;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Scotinophara spp.;terrestrial;SCOTIN;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.02035541;28;0.020358222;0.02035541;0.020358222;0.04
250;SHDI;+;no;13_116;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Scotinophara spp.;terrestrial;SCOTIN;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.010123238;28;-0.010123584;-0.010123238;-0.010123584;0.04
251;Core area index;-;si;13_24;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Sogatella furcifera;terrestrial;SOGFUR;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.184200463;28;-0.186327226;0.184200463;0.186327226;0.04
252;Number patches;+;no;13_110;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Sogatella furcifera;terrestrial;SOGFUR;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.363617501;28;-0.381048289;-0.363617501;-0.381048289;0.04
253;SHDI;+;no;13_117;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Sogatella furcifera;terrestrial;SOGFUR;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.115272017;28;-0.115786691;-0.115272017;-0.115786691;0.04
254;Core area index;-;si;13_27;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Copidosomopsis nacoleiae;terrestrial;TELENO;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.227199358;28;0.231234397;-0.227199358;-0.231234397;0.04
255;Number patches;+;no;13_97;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Copidosomopsis nacoleiae;terrestrial;TELENO;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.053073427;28;0.053123344;0.053073427;0.053123344;0.04
256;SHDI;+;no;13_134;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Copidosomopsis nacoleiae;terrestrial;TELENO;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.004482828;28;-0.004482858;-0.004482828;-0.004482858;0.04
257;Core area index;-;si;13_56;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Telenomus spec. 4;terrestrial;TELENO1;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.151238391;28;0.152407574;-0.151238391;-0.152407574;0.04
258;Number patches;+;no;13_70;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Telenomus spec. 4;terrestrial;TELENO1;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.127643654;28;-0.128343739;-0.127643654;-0.128343739;0.04
259;SHDI;+;no;13_145;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Telenomus spec. 4;terrestrial;TELENO1;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.141667288;28;-0.142626603;-0.141667288;-0.142626603;0.04
260;Core area index;-;si;13_23;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Gryon nixoni;terrestrial;GRYNIX;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.062252849;28;0.062333455;-0.062252849;-0.062333455;0.04
261;Number patches;+;no;13_80;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Gryon nixoni;terrestrial;GRYNIX;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.081362046;28;-0.081542295;-0.081362046;-0.081542295;0.04
262;SHDI;+;no;13_141;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Gryon nixoni;terrestrial;GRYNIX;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.044715517;28;0.044745355;0.044715517;0.044745355;0.04
263;Core area index;-;si;13_11;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Mymar taprobanicum;terrestrial;MYMTAP;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.23129493;28;0.235557156;-0.23129493;-0.235557156;0.04
264;Number patches;+;no;13_95;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Mymar taprobanicum;terrestrial;MYMTAP;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.2110494;28;-0.214269414;-0.2110494;-0.214269414;0.04
265;SHDI;+;no;13_152;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Mymar taprobanicum;terrestrial;MYMTAP;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.253868754;28;0.259543768;0.253868754;0.259543768;0.04
266;Core area index;-;si;13_39;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Oligosita spp.;terrestrial;OLIGOS;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.257367552;28;0.263287167;-0.257367552;-0.263287167;0.04
